SpMax_L,J_Dz(e),nHM,F01[N-N],F04[C-N],NssssC,nCb-,C%,nCp,nO,F03[C-N],SdssC,HyWi_B(m),LOC,SM6_L,F03[C-O],Me,Mi,nN-N,nArNO2,nCRX3,SpPosA_B(p),nCIR,B01[C-Br],B03[C-Cl],N-073,SpMax_A,Psi_i_1d,B04[C-Br],SdO,TI2_L,nCrt,C-026,F02[C-N],nHDon,SpMax_B(m),Psi_i_A,nN,SM6_B(m),nArCOOR,nX,Class*
5.146,2.3537,1,1,15,0,9,39.4,2,8,18,-0.878,4.696,1.471,11.447,12,1.036,1.133,0,2,0,1.234,3,0,1,0,2.439,0,0,68.836,4.958,0,8,17,1,4.062,2.791,6,9.906,0,1,1
5.127,2.3092,0,1,15,0,8,39.4,2,8,18,-0.843,4.63,1.474,11.395,12,1.031,1.134,0,2,0,1.226,3,0,0,0,2.431,0,0,68.414,4.899,0,7,17,1,3.959,2.767,6,9.783,0,0,1
4.958,1.994,1,1,13,0,6,41.3,2,2,15,0,4.33,1.476,11.064,4,1.014,1.127,0,1,0,1.296,4,0,0,0,2.422,0,0,21.767,5.289,0,3,13,0,4.297,2.482,6,9.68,0,0,1
5.014,1.9369,3,1,10,0,6,43.9,1,0,12,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.335,4,0,1,0,2.439,0,0,0,5.224,0,4,11,0,4.354,2.297,5,9.78,0,2,1
4.97,1.9216,3,1,10,0,6,43.9,1,0,12,0,4.364,1.423,10.971,0,1.013,1.117,0,0,0,1.334,4,0,1,0,2.428,0,0,0,5.251,0,4,11,0,4.328,2.297,5,9.78,0,2,1
4.704,1.8224,0,2,12,0,6,47.4,0,2,16,0,4.12,0.49,10.767,4,1.013,1.118,0,0,0,1.269,3,0,0,0,2.277,0,0,0,5.547,0,6,12,2,3.766,2.417,4,9.201,0,0,1
5.216,1.9408,1,0,5,0,8,51.4,0,2,9,-0.382,4.211,0.566,11.057,6,1.013,1.104,0,0,0,1.322,7,0,1,1,2.53,0,0,12.687,3.608,0,3,7,3,4.101,2.38,2,9.502,0,1,1
5.058,2.5326,3,1,8,0,7,38.1,2,4,12,0,4.401,1.487,11.015,4,1.045,1.133,0,1,0,1.255,2,0,1,0,2.385,0,0,21.604,4.881,0,7,12,2,4.095,2.815,4,9.715,0,3,1
4.871,1.8116,1,1,9,0,3,42.6,0,2,12,0,4.357,1.107,10.946,2,1.014,1.124,0,1,0,1.296,3,0,0,0,2.327,0,0,21.375,5.5,0,2,11,0,4.247,2.471,6,9.645,0,0,1
4.913,1.9555,0,2,14,0,7,44.2,0,4,18,0,4.287,0.845,10.988,8,1.029,1.126,0,1,0,1.249,3,0,0,0,2.335,0,0,21.325,5.539,0,7,14,1,3.857,2.613,5,9.442,0,0,1
6.293,7.547,1,0,1,8,0,26.8,2,3,1,0,4.549,1.886,12.166,6,1.207,1.288,0,0,1,0.957,0,0,0,0,2.675,0,0,22.604,4.624,0,0,2,1,4.744,5.27,1,9.999,0,17,1
5.041,1.6582,0,2,16,0,10,42.9,4,6,22,-2.123,4.788,0.887,11.617,10,1.01,1.125,0,0,0,1.261,4,0,0,0,2.406,0,0,50.316,8.013,0,6,18,2,3.866,2.458,6,9.86,0,0,1
5.63,2.295,4,0,0,0,1,27.7,0,4,0,0,4.114,0.737,11.381,4,0.977,1.109,0,0,0,1.477,2,0,0,0,2.496,0,0,0,2.052,0,1,0,0,4.396,2.021,0,9.803,0,0,1
5.995,2.3808,8,0,0,3,0,41.7,0,0,0,0.394,4.378,0.752,11.528,0,1.074,1.102,0,0,0,1.373,6,0,1,0,2.805,0,0,0,1.076,4,0,0,0,4.407,2.6,0,9.952,0,8,1
5.512,1.5684,0,0,2,1,8,47.4,2,2,4,0,4.346,0.541,11.302,8,0.991,1.112,0,0,0,1.287,4,0,0,0,2.431,0,0,0,5.531,0,6,4,4,3.811,2.116,2,9.413,0,0,1
5.058,2.5304,3,1,8,0,7,38.1,2,4,12,0,4.617,1.487,11.015,4,1.042,1.13,0,1,0,1.271,2,1,1,0,2.385,0,1,21.68,4.881,0,7,12,2,6.88,2.764,4,11.696,0,3,1
5.189,1.5615,0,0,28,0,0,55.6,0,0,20,0,4.84,0,11.742,0,0.998,1.102,0,0,0,1.355,24,0,0,0,2.525,0,0,0,1.875,0,0,24,0,4.092,2.056,8,10.09,0,0,1
4.954,1.8616,0,1,14,0,6,46.2,0,2,18,0,4.408,1.164,11.064,4,1.009,1.121,0,1,0,1.289,3,0,0,0,2.347,0,0,21.72,5.85,0,4,14,0,3.897,2.531,6,9.539,0,0,1
5.123,2.2756,0,1,10,0,6,50,1,1,10,0,3.939,0.548,10.737,2,0.995,1.109,0,0,0,1.311,4,0,0,0,2.413,0,0,0,3.631,0,3,6,1,3.938,2.2,2,9.08,0,0,1
5.127,2.0086,0,1,12,0,7,54.1,0,1,10,0,4.095,0.393,10.925,2,0.995,1.1,0,0,0,1.33,6,0,0,0,2.423,0,0,0,3.993,0,3,6,1,3.957,2.159,2,9.281,0,0,1
5.356,1.3417,1,0,6,1,5,38.2,2,2,6,-0.096,4.555,1.852,11.424,3,1.005,1.141,0,0,1,1.215,7,0,0,1,2.502,0,0,11.86,7.751,0,4,11,0,4.079,2.384,3,9.551,0,3,1
5.373,1.9989,0,0,7,0,7,51.2,0,2,11,0,4.226,0.75,11.197,4,1.006,1.107,0,0,0,1.303,15,0,0,0,2.566,0,0,0,2.712,0,0,2,0,4.141,2.103,3,9.466,0,0,1
5.138,1.7205,0,2,18,0,7,48,1,0,19,0,4.296,0.67,11.007,0,0.992,1.116,0,0,0,1.304,5,0,0,0,2.423,0,0,0,5.649,0,5,15,1,3.934,2.057,5,9.394,0,0,1
5.236,1.9483,5,0,0,0,9,52.9,2,2,0,0.495,4.445,0.7,11.29,6,1.032,1.076,0,0,0,1.393,6,0,1,0,2.573,0,0,25.873,2.912,0,5,0,0,4.279,2.467,0,9.946,0,3,1
5.465,1.9086,3,0,4,0,11,58.3,0,3,6,-1.116,4.469,0.648,11.412,12,1.041,1.084,0,0,0,1.335,15,0,1,1,2.603,0,0,39.297,2.108,0,5,4,1,4.139,2.613,1,9.847,0,3,1
5.035,2.0253,1,2,8,0,3,45.7,1,1,12,0.379,4.103,0.595,10.85,2,1.014,1.121,0,0,0,1.297,3,0,1,0,2.444,0,0,12.447,4.041,0,3,14,0,3.928,2.354,4,9.291,0,1,1
5.406,1.997,0,0,8,0,8,50,1,2,8,-0.269,4.196,0.777,11.159,8,0.998,1.108,0,0,0,1.297,7,0,0,1,2.552,0,0,26.252,2.915,0,3,6,2,3.993,2.295,2,9.326,0,0,1
5.376,1.357,0,1,14,0,12,53.6,0,4,14,-1.174,4.602,0.559,11.615,16,1.016,1.102,0,0,0,1.298,12,0,0,0,2.537,0,0,51.819,6.659,0,2,8,4,4.006,2.544,4,9.786,0,0,1
5.125,2.3274,0,1,10,0,6,48.5,0,3,11,0,4.067,0.797,10.854,6,1.025,1.115,0,1,0,1.279,4,0,0,0,2.415,0,0,21.934,3.923,0,4,8,1,3.951,2.636,3,9.294,0,0,1
5.126,2.3321,1,1,10,0,7,48.5,0,3,11,0,4.18,0.832,10.931,6,1.035,1.113,0,1,0,1.291,4,0,1,0,2.418,0,0,22.121,3.982,0,5,8,1,3.996,2.686,3,9.487,0,1,1
5.513,1.971,2,1,17,0,12,40.5,2,7,15,-0.663,4.762,1.229,11.68,20,1.02,1.123,0,0,0,1.255,5,0,1,0,2.48,0,0,39.702,6.079,0,9,12,2,4.725,2.505,4,10.243,0,1,1
5.422,1.0553,0,0,14,0,16,56.6,0,7,16,-3.227,4.939,0.494,11.976,26,1.019,1.094,0,0,0,1.302,22,0,0,1,2.583,0,0,95.149,6.65,0,4,10,3,4.043,2.544,3,10.128,0,0,1
4.867,1.7419,0,1,11,0,5,42.9,0,4,17,-0.548,4.461,1.053,11.078,7,1.018,1.128,0,1,0,1.255,3,0,0,0,2.312,0,0,33.409,6.841,0,5,15,1,3.848,2.574,6,9.55,0,0,1
5.51,1.5605,1,0,4,0,8,53.1,0,4,5,-0.412,4.476,0.531,11.465,16,1.011,1.093,0,0,0,1.315,8,0,0,1,2.529,0,0,51.613,4.821,0,4,4,1,4.737,2.503,1,10.044,0,0,1
5.2,1.9716,6,0,0,0,8,57.1,0,2,0,-0.006,4.476,0.691,11.236,6,1.058,1.061,0,0,0,1.403,6,0,1,0,2.57,0,0,25.54,2.815,0,6,0,0,4.299,2.588,0,10.014,0,4,1
4.88,1.8336,0,2,15,0,7,43.8,1,3,20,-0.53,4.297,1.064,10.994,5,1.014,1.126,0,0,0,1.255,3,0,0,0,2.322,0,0,11.183,6.19,0,6,14,2,3.804,2.425,5,9.37,0,0,1
5.275,1.1922,0,0,0,0,8,45.2,0,8,0,0,4.733,0,11.537,12,1.005,1.114,0,0,0,1.224,8,0,0,0,2.476,0,0,0,3.336,0,4,0,0,3.823,2.029,0,9.782,0,0,1
5.393,4.1155,4,0,0,0,0,19.5,0,3,0,0,3.797,1.907,10.77,0,0.965,1.12,0,0,0,1.54,0,0,0,0,2.327,0.001,0,0,3.298,0,0,0,0,4.26,1.963,0,9.482,0,0,1
5.283,5.474,0,0,0,4,0,32,10,4,0,0,3.811,2.161,11.219,14,0.991,1.141,0,0,0,1.186,0,0,0,0,2.298,0,0,0,5.013,0,0,0,0,3.646,2.2,0,8.699,0,0,1
5.401,1.8664,1,0,4,0,8,47.7,0,6,5,-0.793,4.384,0.973,11.374,15,1.03,1.104,0,0,0,1.275,7,0,0,1,2.547,0,0,48.292,4.114,0,4,4,2,4.697,2.744,1,9.989,0,0,1
5.122,1.2345,0,0,5,0,6,44.4,0,1,9,-0.027,4.436,0.459,11.314,3,1,1.13,0,0,0,1.253,6,0,0,0,2.481,0,0,12.525,6.056,0,4,9,1,3.819,2.304,3,9.425,0,2,1
5.242,1.8379,1,1,17,0,10,46.4,1,4,17,-1.437,4.575,0.978,11.387,9,1.022,1.118,0,0,0,1.279,5,0,1,0,2.473,0,0,35.756,5.42,0,6,13,5,4.01,2.605,5,9.78,0,1,1
5.171,3.0889,1,1,16,0,8,35.3,4,10,16,-1.519,4.853,1.939,11.416,13,1.042,1.14,0,2,0,1.216,2,1,0,0,2.444,0,1,80.579,4.766,0,8,17,1,6.88,2.892,6,11.72,0,1,1
4.935,3.2825,0,0,0,0,4,41.7,4,0,0,0,3.17,0.861,10.06,0,0.966,1.121,0,0,0,1.315,1,0,0,0,2.303,0.013,0,0,1.047,0,0,0,0,3.759,1.867,0,8.214,0,0,1
5.186,1.9185,4,0,0,0,8,52.9,2,2,0,0.766,4.359,0.691,11.221,6,1.022,1.078,0,0,0,1.391,6,0,1,0,2.561,0,0,25.702,2.878,0,4,0,0,4.247,2.412,0,9.827,0,2,1
5.248,1.9626,4,0,0,0,10,50,4,2,0,0.764,4.413,0.704,11.354,6,1.013,1.087,0,0,0,1.379,6,0,1,0,2.583,0,0,26.227,2.955,0,4,0,0,4.264,2.355,0,9.875,0,2,1
5.023,1.5833,2,2,14,0,12,43.9,6,4,22,-2.154,4.86,0.807,11.667,6,1.01,1.121,0,0,0,1.291,4,0,1,0,2.394,0,0,50.233,8.673,0,6,18,2,4.006,2.47,6,10.054,0,2,1
5.122,2.0817,0,1,9,0,6,47.4,1,2,9,0,4.024,0.923,10.773,5,1.001,1.114,0,0,0,1.278,4,0,0,0,2.412,0,0,0,4.291,0,4,6,1,3.941,2.227,2,9.124,0,0,1
5.436,3.4275,0,0,4,2,2,41.2,4,2,4,0,3.8,1.817,10.945,2,1.001,1.127,0,0,0,1.259,1,0,0,0,2.41,0,0,20.833,2.978,0,0,6,0,3.785,2.602,2,8.879,0,0,1
5.123,2.2397,1,1,10,0,7,48.5,0,3,11,0,4.18,0.832,10.931,6,1.035,1.113,0,1,0,1.291,4,0,1,0,2.415,0,0,21.389,4.146,0,5,8,1,4.004,2.686,3,9.487,0,1,1
5.127,2.3412,0,1,11,0,7,45.7,0,5,13,0,4.214,0.942,11.028,10,1.048,1.122,0,2,0,1.257,4,0,0,0,2.421,0,0,43.745,4.139,0,5,10,1,3.977,2.947,4,9.503,0,0,1
5.588,5.4765,5,0,0,0,0,21.1,0,4,0,0,4.106,1.582,11.414,0,0.967,1.122,0,0,0,1.501,0,0,0,0,2.449,0,0,0,1.763,0,0,0,0,4.376,1.975,0,9.895,0,0,1
5.401,1.9925,0,0,7,0,7,52.6,0,2,8,-0.402,4.131,0.566,11.077,8,1.004,1.103,0,0,0,1.3,7,0,0,1,2.547,0,0,25.788,2.773,0,3,6,3,3.993,2.396,2,9.274,0,0,1
6.213,6.6774,0,0,0,6,0,29.6,2,1,0,0,4.101,1.673,11.72,1,1.22,1.31,0,0,1,0.913,0,0,0,0,2.622,0,0,0,3.183,0,0,0,1,3.921,5.477,0,9.052,0,13,1
5.122,2.2613,0,1,9,0,5,51.6,0,1,9,0,3.895,0.447,10.628,2,0.998,1.106,0,0,0,1.309,4,0,0,0,2.41,0,0,0,3.491,0,3,6,1,3.935,2.228,2,9.028,0,0,1
5.095,2.4696,4,0,3,0,7,48.1,0,2,4,-0.565,4.231,0.737,10.813,6,1.054,1.103,0,0,0,1.322,2,0,1,0,2.383,0,0,12.071,3.694,0,6,3,2,4.07,2.764,1,9.656,0,4,1
5.272,2.457,4,0,0,0,6,50,1,4,0,1.548,5.15,1.163,11.265,9,1.027,1.09,0,0,0,1.372,3,1,0,0,2.485,0,1,24.85,2.649,0,3,0,1,6.895,2.467,0,12.981,1,4,1
5.703,1.7918,0,0,6,1,9,46.6,0,1,9,0,4.545,0.782,11.602,6,0.983,1.114,0,0,0,1.299,6,0,0,1,2.564,0,0,0,3.391,0,4,8,1,3.998,2.007,3,9.639,0,0,1
4.562,3.6792,0,0,0,0,0,25,2,0,0,0,2.821,0.918,9.184,0,1.213,1.326,0,0,0,0.881,0,0,0,0,2,-0.31,0,0,1.521,0,0,0,0,3.363,5.778,0,7.465,0,4,1
6.293,7.601,1,0,1,8,0,27.3,3,3,1,0,4.57,1.941,12.173,6,1.19,1.278,0,0,1,0.963,0,0,0,0,2.676,0,0,23.066,4.736,0,0,3,1,4.742,5.159,1,10.004,0,17,1
5.818,2.1837,8,0,0,1,16,54.1,0,5,0,-0.796,5.299,0.681,11.744,18,1.085,1.072,0,0,0,1.38,9,1,1,0,2.707,0,1,13.215,1.775,1,12,0,2,6.897,2.637,0,13.004,1,8,1
5.229,1.7561,3,0,3,0,8,57.1,0,2,3,0.448,4.612,0.596,11.289,6,1.023,1.077,0,0,0,1.379,9,1,1,0,2.57,0,1,25.809,3.02,0,4,4,1,6.88,2.354,1,11.709,0,2,1
5.401,1.7339,2,0,6,0,8,53.8,0,2,6,-0.374,4.363,0.528,11.255,8,1.011,1.085,0,0,0,1.361,9,0,0,0,2.55,0,0,26.116,3.399,0,2,4,2,4.358,2.333,2,9.794,0,0,1
5.054,2.3768,2,1,9,0,6,40.4,1,4,14,-0.366,4.445,1.834,11.044,5,1.035,1.13,0,1,0,1.262,2,0,1,0,2.374,0,0,32.613,5.583,0,6,13,0,4.09,2.763,5,9.7,0,2,1
5.702,1.7634,0,0,6,1,9,47.1,0,1,9,0,4.521,0.759,11.552,6,0.984,1.113,0,0,0,1.301,6,0,0,1,2.558,0,0,0,3.348,0,4,8,2,3.989,2.02,3,9.614,0,0,1
5.562,3.1602,6,0,0,0,0,20,0,6,0,0,4.273,0.691,11.63,0,0.976,1.118,0,0,0,1.504,1,0,0,0,2.449,0,0,0,1.359,0,0,0,0,4.388,2.049,0,10.08,0,0,1
5.562,3.0468,5,0,0,0,0,20,0,5,0,0,4.093,0.716,11.448,0,0.976,1.118,0,0,0,1.498,1,0,0,0,2.449,0,0,0,1.192,0,0,0,0,4.385,2.049,0,9.898,0,0,1
5.155,2.0962,0,0,3,0,6,42.4,0,0,6,0,4.211,0.993,11.121,0,0.978,1.124,0,0,0,1.29,3,0,0,0,2.43,0,0,0,2.561,0,3,6,0,3.81,1.905,3,9.227,0,0,1
5.079,2.7598,1,1,14,0,7,39.6,3,3,17,-0.257,4.584,1.383,11.102,5,1.021,1.133,0,1,0,1.274,2,1,0,0,2.4,0,1,33.55,4.456,0,6,16,1,6.88,2.658,6,11.678,0,1,1
5.123,2.2451,0,1,10,0,7,48.6,2,1,10,0,3.98,0.61,10.824,2,0.992,1.111,0,0,0,1.313,4,0,0,0,2.414,0,0,0,3.8,0,3,6,1,3.939,2.175,2,9.128,0,0,1
5.054,2.4404,2,1,8,0,6,39.5,1,3,12,0,4.248,1.372,10.892,4,1.035,1.132,0,1,0,1.261,2,0,1,0,2.373,0,0,21.488,4.768,0,6,11,1,4.09,2.718,4,9.54,0,2,1
4.698,1.8293,0,2,12,0,5,48.6,0,1,16,0,4.074,0.393,10.675,2,1.004,1.116,0,0,0,1.286,3,0,0,0,2.272,0,0,0,5.347,0,5,12,1,3.758,2.275,4,9.147,0,0,1
5.14,1.8432,0,2,18,0,7,51.2,0,1,18,0,4.244,0.352,10.969,2,1.001,1.109,0,0,0,1.306,5,0,0,0,2.428,0,0,0,4.536,0,5,12,1,3.953,2.21,4,9.376,0,0,1
5.495,2.668,0,0,0,3,6,40.7,9,1,0,0,4.071,1.082,11.457,4,0.972,1.123,0,0,0,1.284,2,0,0,0,2.488,0,0,0,3.069,0,1,0,1,3.897,1.99,0,9.12,0,0,1
4.834,1.8451,0,2,13,0,6,47.5,1,1,16,0,4.111,0.49,10.779,3,1.001,1.117,0,0,0,1.288,3,0,0,0,2.296,0,0,0,5.486,0,5,12,1,3.782,2.25,4,9.193,0,0,1
4.732,3.3033,3,0,0,0,3,50,0,0,0,0,4.554,0.881,9.803,0,1.028,1.064,0,0,0,1.542,1,1,0,0,2.236,-0.024,1,0,0.95,0,3,0,0,6.904,2.139,0,12.674,0,3,1
5.268,4.0081,4,0,0,0,6,40,0,2,0,0,3.962,1.197,10.51,4,1.068,1.114,0,0,0,1.296,1,0,1,0,2.439,0.001,0,0,1.098,0,6,0,0,4.252,2.675,0,9.448,0,4,1
5.1,2.7199,6,0,0,0,8,54.5,0,0,0,0,4.281,0.76,10.787,0,1.062,1.079,0,0,0,1.398,2,0,1,0,2.414,0,0,0,2.525,0,6,0,0,4.195,2.556,0,9.827,0,6,1
5.123,2.2874,0,1,10,0,6,48.6,0,2,9,0,3.987,0.741,10.766,4,1.005,1.112,0,0,0,1.286,4,0,0,0,2.414,0,0,0,3.785,0,4,6,1,3.938,2.262,2,9.109,0,0,1
5.727,2.2718,5,0,0,1,10,48.7,0,5,0,0,5.17,0.68,11.583,16,1.047,1.083,0,0,0,1.374,5,1,0,0,2.652,0,1,25.842,2.157,1,7,0,2,6.896,2.598,0,13.001,0,4,1
5.727,2.2624,3,0,0,1,10,46.7,2,5,0,0,4.844,0.68,11.583,18,1.025,1.097,0,0,0,1.329,5,1,0,0,2.652,0,1,25.889,2.157,1,5,0,2,6.882,2.546,0,12.355,0,2,1
5.525,3.1645,0,0,7,2,5,36.8,5,4,7,0,3.939,1.067,11.292,8,1.015,1.136,0,2,0,1.24,3,0,0,0,2.615,0,0,45.18,1.396,0,2,4,0,4.051,2.817,2,9.225,0,0,1
5.761,2.2937,1,0,0,1,10,45.1,4,5,0,0,4.358,0.68,11.583,18,1.008,1.109,0,0,0,1.286,5,0,0,0,2.663,0,0,26.041,2.067,1,3,0,2,4.746,2.494,0,9.969,0,0,1
5.137,1.857,1,0,5,0,8,51.4,0,2,8,-0.373,4.211,0.566,11.047,6,1.013,1.104,0,0,0,1.321,7,0,1,1,2.511,0,0,12.507,3.781,0,3,7,3,4.084,2.38,2,9.501,0,1,1
5.236,3.8784,6,0,0,0,6,46.2,0,0,0,0,4.029,0.799,10.434,0,1.104,1.068,0,0,0,1.44,1,0,1,0,2.414,0.004,0,0,0.873,0,6,0,0,4.322,2.815,0,9.637,0,5,1
5.099,2.0837,1,0,3,0,7,50,1,2,5,-0.367,4.108,0.65,10.904,6,1.007,1.105,0,0,0,1.315,4,0,1,0,2.418,0,0,12.428,3.744,0,3,3,2,3.944,2.407,1,9.347,0,1,1
5.46,4.2445,0,0,5,1,5,34.3,4,5,6,0,3.89,1.207,11.002,11,1.029,1.141,0,2,0,1.212,1,0,0,0,2.493,0,0,44.352,1.528,0,3,4,0,4.02,3.004,2,9.159,0,0,1
5.356,1.6725,1,0,5,1,5,40.4,1,0,6,0,4.29,0.744,11.272,0,1.01,1.143,0,0,1,1.23,7,0,0,1,2.502,0,0,0,4.17,0,4,10,0,4.079,2.426,3,9.376,0,3,1
5.554,1.7185,0,0,14,0,12,60.9,0,2,12,0.071,4.465,0.406,11.623,8,1.003,1.085,0,0,0,1.351,96,0,0,2,2.677,0,0,26.731,1.664,0,0,8,2,4.245,2.177,2,9.773,0,0,1
5.807,2.2988,0,0,0,4,0,34.5,5,2,0,0,3.896,1.544,11.474,5,0.975,1.136,0,0,0,1.22,3,0,0,0,2.586,0,0,0,2.926,3,0,0,2,3.656,2.053,0,8.675,0,0,1
4.7,1.7425,2,0,16,0,4,34.4,0,0,22,0.564,4.507,0.591,11.007,0,1.006,1.147,0,0,0,1.238,2,0,1,0,2.241,0,0,0,10.882,0,4,6,10,3.883,2.34,10,9.632,0,2,1
5.237,1.61,2,0,4,0,5,40.8,0,0,6,0,4.224,0.477,11.003,0,0.988,1.121,0,0,0,1.304,7,0,1,1,2.485,0,0,0,4.207,0,5,10,0,4.097,1.871,3,9.407,0,1,1
5.236,2.9421,6,0,0,0,0,33.3,0,0,0,0,4.006,0.799,10.434,0,1.069,1.12,0,0,0,1.347,1,0,1,0,2.414,0.004,0,0,0.873,0,0,0,0,4.085,2.722,0,9.504,0,6,1
5.562,2.8508,4,0,0,0,0,20,0,4,0,0,3.874,0.75,11.225,0,0.976,1.118,0,0,0,1.505,1,0,0,0,2.449,0,0,0,1.048,0,0,0,0,4.382,2.049,0,9.675,0,0,1
5.772,2.3609,5,0,0,1,12,46.7,2,5,0,0,5.195,0.686,11.678,16,1.035,1.09,0,0,0,1.367,5,1,0,0,2.671,0,1,26.287,2.189,1,7,0,2,6.897,2.538,0,13.003,0,4,1
6.03,1.6215,0,0,0,5,0,37,7,3,0,0.978,4.33,0.828,11.994,10,0.978,1.131,0,0,0,1.237,15,0,0,0,2.711,0,0,12.794,2.275,5,0,0,2,3.829,2.003,0,9.207,0,0,1
5.465,2.0578,1,0,9,0,9,45.8,1,5,8,-0.955,4.407,0.817,11.452,16,1.021,1.11,0,0,0,1.281,7,0,0,0,2.569,0,0,52.188,3.432,0,4,5,3,4.711,2.642,2,9.995,0,0,1
5.122,1.6946,0,2,15,0,7,51.2,0,1,17,0,4.244,0.352,10.969,2,1.001,1.109,0,0,0,1.306,5,0,0,0,2.411,0,0,0,5.624,0,5,12,1,3.937,2.21,4,9.375,0,0,1
5.093,2.4208,3,0,3,0,6,48.1,0,2,4,-0.373,4.793,0.73,10.713,6,1.032,1.093,0,0,0,1.381,2,1,0,0,2.378,0,1,12.1,3.574,0,5,3,2,6.893,2.496,1,12.688,0,3,1
5.109,2.1181,1,0,4,0,8,46.3,0,4,4,-0.47,4.221,0.942,11.032,10,1.02,1.112,0,0,0,1.272,4,0,1,0,2.426,0,0,12.612,4.029,0,5,3,2,3.975,2.464,1,9.428,0,1,1
5.098,2.0628,1,0,3,0,7,50,1,2,5,-0.353,4.108,0.65,10.904,6,1.007,1.105,0,0,0,1.315,4,0,1,0,2.417,0,0,12.412,3.766,0,3,3,2,3.942,2.407,1,9.347,0,1,1
5.406,2.5797,1,0,0,2,8,40,8,2,0,0,4.144,1.006,11.361,8,0.982,1.119,0,0,0,1.3,2,0,0,0,2.446,0,0,0,3.797,0,4,0,2,4.037,2.147,0,9.332,0,0,1
5.164,2.5235,4,0,0,0,4,50,1,0,0,0,4.133,0.946,10.629,0,1.017,1.096,0,0,0,1.367,2,0,1,0,2.396,0,0,0,2.485,0,2,0,0,4.023,2.321,0,9.529,0,4,1
4.969,1.8458,0,0,10,0,6,41.9,4,4,12,-0.531,4.726,1.375,11.397,6,0.999,1.127,0,0,0,1.272,2,0,0,0,2.348,0,0,24.485,12.185,0,2,12,0,3.8,2.493,6,9.744,0,0,1
5.402,2.0001,0,0,8,0,8,50,0,3,8,-0.462,4.204,0.777,11.167,10,1.009,1.108,0,0,0,1.281,7,0,0,1,2.548,0,0,26.01,3.125,0,4,6,3,3.995,2.41,2,9.338,0,0,1
5.014,1.7486,3,1,11,0,6,43.9,0,0,11,0,4.768,1.625,10.896,0,1.008,1.112,0,0,0,1.373,4,1,0,0,2.438,0,1,0,5.876,0,3,9,1,6.892,2.192,5,12.322,0,2,1
5.092,1.7803,0,0,12,0,12,41.9,0,10,16,0,4.716,1.022,11.566,20,1.05,1.129,0,4,0,1.231,4,0,0,2,2.433,0,0,90.179,6.017,0,10,16,2,3.971,2.952,6,9.987,0,0,1
5.142,2.2694,0,1,14,0,6,40.9,4,7,18,-1.477,4.594,1.483,11.38,13,1.023,1.129,0,1,0,1.236,3,0,0,0,2.416,0,0,58.116,4.086,0,5,15,1,3.864,2.671,5,9.699,0,0,1
4.928,1.7796,1,1,9,0,6,43.1,1,3,12,0,4.383,0.812,11.028,6,1.013,1.124,0,1,0,1.267,3,0,1,0,2.334,0,0,21.549,6.366,0,6,12,0,3.99,2.404,4,9.555,0,1,1
5.009,2.6493,5,0,0,0,7,52.2,0,1,0,0,5.112,0.745,10.692,4,1.039,1.065,0,0,0,1.488,2,1,0,0,2.37,0,1,0,3.099,0,7,0,0,6.931,2.162,0,13.188,0,5,1
