volAc,chlorides,density,fixAc,totalSuDi,citAc,resSu,pH,sulphates,freeSulDi,alcohol,quality*
0.65,0.065,0.9946,7.3,21.0,0.0,1.2,3.39,0.47,15.0,10.0,Superior
0.58,0.073,0.9968,7.8,18.0,0.02,2.0,3.36,0.57,9.0,9.5,Superior
0.28,0.092,0.9969,8.5,103.0,0.56,1.8,3.3,0.75,35.0,10.5,Superior
0.38,0.066,0.9968,8.1,30.0,0.28,2.1,3.23,0.73,13.0,9.7,Superior
0.52,0.085,0.9968,7.5,35.0,0.16,1.9,3.38,0.62,12.0,9.5,Superior
0.59,0.065,0.9962,8.0,16.0,0.16,1.8,3.42,0.92,3.0,10.5,Superior
0.835,0.046,0.9924,5.4,93.0,0.08,1.2,3.57,0.85,13.0,13.0,Superior
0.32,0.056,0.99695,9.6,24.0,0.47,1.4,3.22,0.82,9.0,10.3,Superior
0.3,0.095,0.9994,12.8,28.0,0.74,2.6,3.2,0.77,9.0,10.8,Superior
0.3,0.095,0.9994,12.8,28.0,0.74,2.6,3.2,0.77,9.0,10.8,Superior
0.3,0.054,0.998,11.0,19.0,0.58,2.1,3.31,0.88,7.0,10.5,Superior
0.48,0.054,0.9927,5.2,106.0,0.04,1.6,3.54,0.62,19.0,12.2,Superior
0.21,0.075,1.00005,15.0,24.0,0.44,2.2,3.07,0.84,10.0,9.2,Superior
0.21,0.075,1.00005,15.0,24.0,0.44,2.2,3.07,0.84,10.0,9.2,Superior
0.31,0.085,0.99965,10.0,33.0,0.47,2.6,3.36,0.8,14.0,10.5,Superior
0.26,0.071,0.9968,11.8,10.0,0.52,1.8,3.2,0.72,6.0,10.2,Superior
0.35,0.078,0.9973,7.9,37.0,0.46,3.6,3.35,0.86,15.0,12.8,Superior
0.32,0.073,0.9976,10.3,13.0,0.45,6.4,3.23,0.82,5.0,12.6,Superior
0.4,0.087,0.9991,8.9,47.0,0.32,5.6,3.38,0.77,10.0,10.5,Superior
0.27,0.358,0.9972,7.7,10.0,0.68,3.5,3.25,1.08,5.0,9.9,Superior
0.4,0.087,0.9991,8.9,47.0,0.32,5.6,3.38,0.77,10.0,10.5,Superior
0.52,0.091,0.9976,8.7,49.0,0.09,2.5,3.34,0.86,20.0,10.6,Superior
0.52,0.091,0.9976,8.7,49.0,0.09,2.5,3.34,0.86,20.0,10.6,Superior
0.66,0.083,0.9989,9.8,59.0,0.39,3.2,3.37,0.71,21.0,11.5,Superior
0.66,0.083,0.9989,9.8,59.0,0.39,3.2,3.37,0.71,21.0,11.5,Superior
0.53,0.121,0.9978,11.6,14.0,0.66,3.65,3.05,0.74,6.0,11.5,Superior
0.65,0.078,0.9963,7.9,38.0,0.01,2.5,3.34,0.74,17.0,11.7,Superior
0.695,0.128,0.9992,11.9,21.0,0.53,3.4,3.17,0.84,7.0,12.2,Superior
0.28,0.082,0.9997,12.5,29.0,0.54,2.3,3.11,1.36,12.0,9.8,Superior
0.815,0.072,0.9955,6.6,34.0,0.02,2.7,3.58,0.89,17.0,12.3,Superior
0.42,0.116,0.997,10.5,29.0,0.66,2.95,3.24,0.75,12.0,11.7,Superior
0.43,0.109,1.0,11.9,23.0,0.66,3.1,3.15,0.85,10.0,10.4,Superior
0.615,0.083,1.0022,12.8,42.0,0.66,5.8,3.07,0.73,7.0,10.0,Superior
0.615,0.083,1.0022,12.8,42.0,0.66,5.8,3.07,0.73,7.0,10.0,Superior
0.27,0.074,0.9962,9.4,18.0,0.53,2.4,3.2,1.13,6.0,12.0,Superior
0.54,0.124,0.9984,11.5,15.0,0.71,4.4,3.01,0.83,6.0,11.8,Superior
0.27,0.074,0.9962,9.4,18.0,0.53,2.4,3.2,1.13,6.0,12.0,Superior
0.38,0.096,0.9982,9.6,49.0,0.31,2.5,3.19,0.7,16.0,10.0,Superior
0.85,0.045,0.9924,5.6,88.0,0.05,1.4,3.56,0.82,12.0,12.9,Superior
0.37,0.066,1.0004,12.0,38.0,0.76,4.2,3.22,0.6,7.0,13.0,Superior
0.39,0.093,0.9996,12.0,30.0,0.66,3.0,3.18,0.63,12.0,10.8,Superior
0.4,0.097,0.9986,9.9,19.0,0.53,6.7,3.27,0.82,6.0,11.7,Superior
0.56,0.089,0.9972,9.5,67.0,0.33,2.4,3.28,0.73,35.0,11.8,Superior
0.84,0.059,0.9952,6.6,48.0,0.03,2.3,3.52,0.56,32.0,12.3,Superior
0.24,0.066,0.9978,10.5,24.0,0.47,2.1,3.15,0.9,6.0,11.0,Superior
0.84,0.059,0.9952,6.6,48.0,0.03,2.3,3.52,0.56,32.0,12.3,Superior
0.24,0.066,0.9978,10.5,24.0,0.47,2.1,3.15,0.9,6.0,11.0,Superior
0.31,0.072,0.9987,12.6,29.0,0.72,2.2,2.88,0.82,6.0,9.8,Superior
0.685,0.1,1.0032,15.6,43.0,0.76,3.7,2.95,0.68,6.0,11.2,Superior
0.44,0.077,0.9963,10.0,19.0,0.49,2.7,3.23,0.63,11.0,11.6,Superior
0.57,0.054,0.9934,5.3,27.0,0.01,1.7,3.57,0.84,5.0,12.5,Superior
0.33,0.084,0.9998,10.4,22.0,0.63,2.8,3.26,0.74,5.0,11.2,Superior
0.62,0.086,0.9988,11.3,19.0,0.67,5.2,3.22,0.69,6.0,13.4,Superior
0.33,0.084,0.9998,10.4,22.0,0.63,2.8,3.26,0.74,5.0,11.2,Superior
0.3,0.08,0.9964,9.4,17.0,0.56,2.8,3.15,0.92,6.0,11.7,Superior
0.32,0.081,1.0002,11.6,67.0,0.55,2.8,3.32,0.92,35.0,10.8,Superior
0.41,0.055,0.9952,9.2,25.0,0.5,2.5,3.34,0.79,12.0,13.3,Superior
0.4,0.052,0.995,8.9,27.0,0.51,2.6,3.32,0.9,13.0,13.4,Superior
0.35,0.07,0.9972,10.7,16.0,0.53,2.6,3.15,0.65,5.0,11.0,Superior
0.35,0.07,0.9972,10.7,16.0,0.53,2.6,3.15,0.65,5.0,11.0,Superior
0.44,0.074,0.999,10.4,76.0,0.73,6.55,3.17,0.85,38.0,12.0,Superior
0.44,0.074,0.999,10.4,76.0,0.73,6.55,3.17,0.85,38.0,12.0,Superior
0.26,0.078,0.9976,10.5,24.0,0.47,1.9,3.18,1.04,6.0,10.9,Superior
0.24,0.077,0.9976,10.5,22.0,0.42,1.8,3.21,1.05,6.0,10.8,Superior
0.49,0.072,0.9968,10.2,26.0,0.63,2.9,3.16,0.78,10.0,12.5,Superior
0.24,0.075,0.9976,10.4,21.0,0.46,1.8,3.25,1.02,6.0,10.8,Superior
0.29,0.084,0.9986,13.3,43.0,0.75,2.8,3.04,0.68,23.0,11.4,Superior
0.51,0.107,0.9973,10.5,15.0,0.64,2.4,3.09,0.66,6.0,11.8,Superior
0.51,0.107,0.9973,10.5,15.0,0.64,2.4,3.09,0.66,6.0,11.8,Superior
0.35,0.066,1.0014,12.9,35.0,0.49,5.8,3.2,0.66,5.0,12.0,Superior
0.28,0.074,0.9976,12.0,21.0,0.49,1.9,2.98,0.66,10.0,9.9,Superior
0.33,0.093,1.0002,11.8,80.0,0.49,3.4,3.3,0.76,54.0,10.7,Superior
0.31,0.094,0.9986,11.1,47.0,0.49,2.7,3.12,1.02,16.0,10.6,Superior
0.42,0.06,0.9917,5.0,50.0,0.24,2.0,3.72,0.74,19.0,14.0,Superior
0.29,0.059,0.9976,10.2,13.0,0.49,2.6,3.05,0.74,5.0,10.5,Superior
0.41,0.072,0.9973,9.4,20.0,0.48,4.6,3.34,0.79,10.0,12.2,Superior
0.915,0.143,0.9964,7.7,23.0,0.12,2.2,3.35,0.65,7.0,10.2,Superior
0.64,0.115,0.9984,7.8,11.0,0.1,6.0,3.37,0.69,5.0,10.1,Superior
0.48,0.066,0.9964,8.7,28.0,0.3,2.8,3.33,0.67,10.0,11.2,Superior
0.5,0.073,0.998,12.0,42.0,0.59,1.4,2.92,0.68,23.0,10.5,Superior
0.37,0.038,0.99526,9.3,42.0,0.44,1.6,3.24,0.81,21.0,10.8,Superior
0.585,0.044,0.99264,5.1,86.0,0.0,1.7,3.56,0.94,14.0,12.9,Superior
0.28,0.052,0.99356,8.2,10.0,0.4,2.4,3.33,0.7,4.0,12.8,Superior
0.25,0.041,0.99386,8.4,10.0,0.39,2.0,3.27,0.71,4.0,12.5,Superior
0.28,0.052,0.99356,8.2,10.0,0.4,2.4,3.33,0.7,4.0,12.8,Superior
0.42,0.048,0.99154,4.9,42.0,0.0,2.1,3.71,0.74,16.0,14.0,Superior
0.27,0.05,0.9951,7.5,8.0,0.34,2.3,3.4,0.64,4.0,11.0,Superior
0.57,0.065,0.99417,7.8,45.0,0.09,2.3,3.46,0.74,34.0,12.7,Superior
0.28,0.012,0.99064,6.7,100.0,0.28,2.4,3.26,0.39,36.0,11.7,Superior
0.28,0.012,0.99064,6.7,100.0,0.28,2.4,3.26,0.39,36.0,11.7,Superior
0.31,0.075,0.99672,10.1,28.0,0.35,1.6,3.24,0.83,9.0,11.2,Superior
0.42,0.085,0.99736,11.1,34.0,0.47,2.65,3.24,0.77,9.0,12.1,Superior
0.735,0.071,0.99538,7.6,14.0,0.02,2.5,3.51,0.71,10.0,11.7,Superior
0.26,0.073,0.99594,8.2,47.0,0.34,2.5,3.4,0.78,16.0,11.3,Superior
0.28,0.054,0.99686,11.7,32.0,0.47,1.7,3.15,0.67,17.0,10.6,Superior
0.21,0.067,0.99552,9.1,10.0,0.37,1.6,3.23,0.58,6.0,11.1,Superior
0.38,0.104,0.99664,10.4,10.0,0.46,2.1,3.12,0.65,6.0,11.8,Superior
0.31,0.109,0.99614,8.8,16.0,0.4,2.8,3.31,0.79,7.0,11.8,Superior
0.52,0.066,0.99577,10.7,56.0,0.38,2.6,3.15,0.79,29.0,12.1,Superior
0.31,0.078,0.99444,8.3,43.0,0.39,2.4,3.31,0.77,17.0,12.5,Superior
0.31,0.078,0.99444,8.3,43.0,0.39,2.4,3.31,0.77,17.0,12.5,Superior
0.635,0.08,0.99736,7.4,33.0,0.1,2.4,3.58,0.69,16.0,10.8,Superior
0.635,0.08,0.99736,7.4,33.0,0.1,2.4,3.58,0.69,16.0,10.8,Superior
0.59,0.06,0.9962,6.8,18.0,0.06,6.0,3.41,0.59,11.0,10.8,Superior
0.59,0.06,0.9962,6.8,18.0,0.06,6.0,3.41,0.59,11.0,10.8,Superior
0.395,0.094,0.99639,9.4,10.0,0.46,4.6,3.27,0.64,3.0,12.2,Superior
0.22,0.064,0.99604,8.6,77.0,0.36,1.9,3.47,0.87,53.0,11.0,Superior
0.33,0.063,0.99468,8.7,19.0,0.38,3.3,3.3,0.73,10.0,12.0,Superior
0.38,0.068,0.99356,7.2,42.0,0.38,2.8,3.34,0.72,23.0,12.9,Superior
0.33,0.074,0.99509,9.6,25.0,0.52,2.2,3.36,0.76,13.0,12.4,Superior
0.27,0.082,0.99484,9.9,17.0,0.49,5.0,3.19,0.52,9.0,12.5,Superior
0.43,0.092,0.99834,10.1,52.0,0.4,2.6,3.22,0.64,13.0,10.0,Superior
0.5,0.094,0.99864,9.8,45.0,0.34,2.3,3.24,0.6,10.0,9.7,Superior
0.3,0.09,0.99498,8.3,24.0,0.49,3.8,3.27,0.64,11.0,12.1,Superior
0.44,0.071,0.99566,10.2,20.0,0.42,2.0,3.14,0.79,7.0,11.1,Superior
0.44,0.092,0.99745,10.2,24.0,0.58,4.1,3.29,0.99,11.0,12.0,Superior
0.28,0.093,0.99408,8.3,12.0,0.48,2.1,3.26,0.62,6.0,12.4,Superior
0.12,0.075,0.99552,8.9,21.0,0.45,1.8,3.41,0.76,10.0,11.9,Superior
0.12,0.075,0.99552,8.9,21.0,0.45,1.8,3.41,0.76,10.0,11.9,Superior
0.12,0.075,0.99552,8.9,21.0,0.45,1.8,3.41,0.76,10.0,11.9,Superior
0.28,0.093,0.99408,8.3,12.0,0.48,2.1,3.26,0.62,6.0,12.4,Superior
0.31,0.058,0.99536,8.2,10.0,0.4,2.2,3.31,0.68,6.0,11.2,Superior
0.34,0.052,0.99458,10.2,9.0,0.48,2.1,3.2,0.69,5.0,12.1,Superior
0.57,0.12,0.99519,6.4,36.0,0.12,2.3,3.47,0.71,25.0,11.3,Superior
0.38,0.103,0.99604,9.0,10.0,0.41,2.4,3.13,0.58,6.0,11.9,Superior
0.38,0.104,0.99643,10.1,13.0,0.5,2.4,3.22,0.65,6.0,11.6,Superior
0.33,0.073,0.99658,8.8,13.0,0.41,5.9,3.3,0.62,7.0,12.1,Superior
0.4,0.061,0.99416,7.0,29.0,0.32,3.6,3.28,0.49,9.0,11.3,Superior
0.34,0.066,0.9947,9.8,7.0,0.39,1.4,3.19,0.55,3.0,11.4,Superior
0.66,0.087,0.99378,5.6,11.0,0.0,2.2,3.71,0.63,3.0,12.8,Superior
0.66,0.087,0.99378,5.6,11.0,0.0,2.2,3.71,0.63,3.0,12.8,Superior
0.43,0.062,0.99495,7.5,12.0,0.3,2.2,3.44,0.72,6.0,11.5,Superior
0.35,0.058,0.99676,9.9,47.0,0.38,1.5,3.26,0.82,31.0,10.6,Superior
0.29,0.063,0.99516,9.1,27.0,0.33,2.05,3.26,0.84,13.0,11.7,Superior
0.36,0.067,0.9928,6.8,8.0,0.32,1.8,3.36,0.55,4.0,12.8,Superior
0.36,0.067,0.9928,6.8,8.0,0.32,1.8,3.36,0.55,4.0,12.8,Superior
0.29,0.063,0.99516,9.1,27.0,0.33,2.05,3.26,0.84,13.0,11.7,Superior
0.3,0.064,0.99516,9.1,25.0,0.34,2.0,3.26,0.84,12.0,11.7,Superior
0.35,0.11,0.99549,8.9,24.0,0.4,3.6,3.23,0.7,12.0,12.0,Superior
0.28,0.067,0.99354,8.9,12.0,0.45,1.7,3.25,0.55,7.0,12.3,Superior
0.38,0.068,0.99486,8.9,28.0,0.4,2.2,3.27,0.75,12.0,12.6,Superior
0.58,0.088,0.99568,7.7,18.0,0.01,1.8,3.32,0.56,12.0,10.5,Superior
0.58,0.088,0.99568,7.7,18.0,0.01,1.8,3.32,0.56,12.0,10.5,Superior
0.59,0.091,0.99488,7.1,14.0,0.0,2.1,3.42,0.55,9.0,11.5,Superior
0.55,0.093,0.99514,7.3,15.0,0.01,1.8,3.35,0.58,9.0,11.0,Superior
0.37,0.085,0.99683,10.1,17.0,0.34,2.4,3.17,0.65,5.0,10.6,Superior
0.31,0.082,0.99356,7.6,35.0,0.34,2.5,3.22,0.59,26.0,12.5,Superior
0.41,0.078,0.9953,8.7,42.0,0.41,6.2,3.24,0.77,25.0,12.6,Superior
0.39,0.069,0.99859,9.5,39.0,0.41,8.9,3.29,0.81,18.0,10.9,Superior
0.33,0.07,0.99426,8.3,20.0,0.42,2.3,3.38,0.77,9.0,12.7,Superior
0.48,0.101,0.99586,8.9,10.0,0.53,4.0,3.21,0.59,3.0,12.1,Superior
0.53,0.093,0.9971,9.9,52.0,0.57,2.4,3.19,0.76,30.0,11.6,Superior
0.48,0.101,0.99586,8.9,10.0,0.53,4.0,3.21,0.59,3.0,12.1,Superior
0.4,0.071,0.99462,9.1,16.0,0.5,1.8,3.21,0.69,7.0,12.5,Superior
0.52,0.07,0.99358,6.6,26.0,0.08,2.4,3.4,0.72,13.0,12.5,Superior
0.31,0.06,0.99572,11.1,10.0,0.53,2.2,3.02,0.83,3.0,10.9,Superior
0.31,0.06,0.99572,11.1,10.0,0.53,2.2,3.02,0.83,3.0,10.9,Superior
0.33,0.057,0.99498,9.3,37.0,0.45,1.5,3.18,0.89,19.0,11.1,Superior
0.25,0.071,0.99769,9.1,67.0,0.34,2.0,3.44,0.86,45.0,10.2,Superior
0.3,0.05,0.99316,7.9,278.0,0.68,8.3,3.01,0.51,37.5,12.3,Superior
0.3,0.05,0.99316,7.9,289.0,0.68,8.3,3.01,0.51,37.5,12.3,Superior
0.34,0.055,0.99738,8.5,9.0,0.4,4.7,3.38,0.66,3.0,11.6,Superior
0.41,0.095,0.99735,11.6,41.0,0.54,1.5,3.02,0.76,22.0,9.9,Superior
0.41,0.095,0.99735,11.6,41.0,0.54,1.5,3.02,0.76,22.0,9.9,Superior
0.26,0.083,0.99451,10.0,74.0,0.54,1.9,2.98,0.63,42.0,11.8,Superior
0.31,0.079,0.99615,9.2,31.0,0.36,2.2,3.33,0.86,11.0,12.0,Superior
0.31,0.216,0.99358,8.0,16.0,0.45,2.1,3.15,0.81,5.0,12.5,Superior
0.3,0.068,0.99523,9.1,24.0,0.41,2.0,3.27,0.85,10.0,11.7,Superior
0.42,0.092,0.99471,5.4,55.0,0.27,2.0,3.78,0.64,23.0,12.3,Superior
0.54,0.076,0.99235,7.9,17.0,0.34,2.5,3.2,0.72,8.0,13.1,Superior
0.24,0.055,0.99394,8.8,27.0,0.35,1.7,3.14,0.59,13.0,11.3,Superior
0.36,0.075,0.9933,7.4,38.0,0.34,1.8,3.38,0.88,18.0,13.6,Superior
0.48,0.089,0.99684,7.2,18.0,0.07,5.5,3.37,0.68,10.0,11.2,Superior
0.28,0.061,0.99524,8.5,15.0,0.35,1.7,3.3,0.74,6.0,11.8,Superior
0.41,0.071,0.99702,10.0,14.0,0.45,6.2,3.21,0.49,6.0,11.8,Superior
0.33,0.067,0.99473,8.2,12.0,0.32,2.8,3.3,0.76,4.0,12.8,Superior
0.18,0.071,0.99524,8.5,88.0,0.51,1.75,3.33,0.76,45.0,11.8,Superior
0.51,0.042,0.9924,5.1,101.0,0.18,2.1,3.46,0.87,16.0,12.9,Superior
0.36,0.087,0.99676,10.6,20.0,0.57,2.3,3.14,0.72,6.0,11.1,Superior
0.32,0.075,0.99434,8.5,19.0,0.42,2.3,3.14,0.71,12.0,11.8,Superior
0.33,0.074,0.99528,8.2,48.0,0.39,2.5,3.32,0.88,29.0,12.4,Superior
0.66,0.052,0.99318,7.1,11.0,0.0,2.4,3.35,0.66,6.0,12.7,Superior
0.25,0.063,0.99439,7.2,41.0,0.37,2.5,3.52,0.8,11.0,12.4,Superior
0.34,0.065,0.99419,7.9,10.0,0.36,1.9,3.27,0.54,5.0,11.2,Superior
0.42,0.068,0.99516,8.6,12.0,0.39,1.8,3.35,0.69,6.0,11.7,Superior
0.36,0.074,0.99534,7.2,44.0,0.46,2.1,3.4,0.85,24.0,11.0,Superior
0.36,0.074,0.99534,7.2,44.0,0.46,2.1,3.4,0.85,24.0,11.0,Superior
0.36,0.074,0.99534,7.2,44.0,0.46,2.1,3.4,0.85,24.0,11.0,Superior
0.36,0.074,0.99534,7.2,44.0,0.46,2.1,3.4,0.85,24.0,11.0,Superior
0.39,0.071,0.99428,6.2,24.0,0.43,2.0,3.45,0.87,14.0,11.2,Superior
0.42,0.044,0.99157,5.1,88.0,0.0,1.8,3.68,0.73,18.0,13.6,Superior
0.49,0.044,0.9908,5.5,87.0,0.03,1.8,3.5,0.82,28.0,14.0,Superior
0.3,0.062,0.9948,9.8,9.0,0.39,1.7,3.14,0.57,3.0,11.5,Superior
0.36,0.06,0.99495,9.1,55.0,0.39,1.8,3.18,0.82,21.0,11.0,Superior
0.6,0.083,0.9966,7.0,28.0,0.12,2.2,3.52,0.62,13.0,10.2,Superior
0.33,0.061,0.996,7.2,13.0,0.33,1.7,3.23,1.1,3.0,10.0,Superior
0.28,0.062,0.9952,7.7,34.0,0.3,2.0,3.28,0.9,18.0,11.3,Superior
0.29,0.048,0.995,8.1,53.0,0.36,2.2,3.27,1.01,35.0,12.4,Superior
0.34,0.064,0.9952,7.3,37.0,0.33,2.5,3.35,0.77,21.0,12.1,Superior
0.4,0.069,0.9955,6.1,25.0,0.16,1.8,3.42,0.74,11.0,10.1,Superior
0.37,0.062,0.9947,7.2,28.0,0.32,2.0,3.23,0.73,15.0,11.3,Superior
0.38,0.056,0.99472,7.2,29.0,0.31,2.0,3.23,0.76,15.0,11.3,Superior
0.37,0.062,0.9947,7.2,28.0,0.32,2.0,3.23,0.73,15.0,11.3,Superior
0.32,0.104,0.99732,7.8,17.0,0.44,2.7,3.33,0.78,8.0,11.0,Superior
0.58,0.062,0.99374,6.6,53.0,0.02,2.0,3.35,0.76,37.0,11.6,Superior
0.2,0.054,0.99458,7.9,15.0,0.35,1.7,3.32,0.8,7.0,11.9,Superior
0.48,0.062,0.99728,7.3,54.0,0.32,2.1,3.3,0.65,31.0,10.0,Superior
0.48,0.062,0.99728,7.3,54.0,0.32,2.1,3.3,0.65,31.0,10.0,Superior
0.47,0.048,0.99182,5.3,89.0,0.11,2.2,3.54,0.88,16.0,13.5666666667,Superior
0.47,0.048,0.99182,5.3,89.0,0.11,2.2,3.54,0.88,16.0,13.6,Superior
0.31,0.066,0.99459,6.4,28.0,0.09,1.4,3.42,0.7,15.0,10.0,Superior
0.56,0.064,0.99397,6.6,29.0,0.14,2.4,3.42,0.62,13.0,11.7,Superior
0.25,0.054,0.99666,7.4,49.0,0.29,2.2,3.4,0.76,19.0,10.9,Superior
0.37,0.063,0.9955,8.4,19.0,0.43,2.3,3.17,0.81,12.0,11.2,Superior
0.36,0.074,0.99419,7.4,24.0,0.3,1.8,3.24,0.7,17.0,11.4,Superior
0.56,0.065,0.99514,7.0,24.0,0.17,1.7,3.44,0.68,15.0,10.55,Superior
0.32,0.061,0.99484,6.7,34.0,0.44,2.4,3.29,0.8,24.0,11.6,Superior
0.59,0.086,0.9974,7.4,29.0,0.08,4.4,3.38,0.5,6.0,9.0,Inferior
1.13,0.172,0.994,5.7,19.0,0.09,1.5,3.5,0.48,7.0,9.8,Inferior
0.61,0.088,0.9976,8.8,46.0,0.3,2.8,3.26,0.51,17.0,9.3,Inferior
0.52,0.054,0.9934,4.6,65.0,0.15,2.1,3.9,0.56,8.0,13.1,Inferior
0.675,0.084,0.9976,8.3,43.0,0.26,2.1,3.31,0.53,11.0,9.2,Inferior
0.625,0.08,0.9972,8.3,119.0,0.2,1.5,3.16,1.12,27.0,9.1,Inferior
1.02,0.045,0.9938,5.0,85.0,0.04,1.4,3.75,0.48,41.0,10.5,Inferior
0.52,0.61,0.9996,9.2,69.0,1.0,3.4,2.74,2.0,32.0,9.4,Inferior
0.68,0.072,0.9965,7.6,20.0,0.02,1.3,3.17,1.08,9.0,9.2,Inferior
0.55,0.072,0.9956,7.3,42.0,0.03,1.6,3.37,0.48,17.0,9.0,Inferior
0.885,0.058,0.9972,7.9,8.0,0.03,1.8,3.36,0.33,4.0,9.1,Inferior
1.09,0.061,0.9948,6.9,31.0,0.06,2.1,3.51,0.43,12.0,11.4,Inferior
0.635,0.089,0.99745,8.4,55.0,0.36,2.0,3.31,0.57,15.0,10.4,Inferior
0.975,0.087,0.99565,7.0,67.0,0.04,2.0,3.35,0.6,12.0,9.4,Inferior
0.87,0.096,1.00025,8.1,61.0,0.0,3.3,3.6,0.72,26.0,9.8,Inferior
0.46,0.07,0.9981,12.5,49.0,0.49,4.5,3.05,0.57,26.0,9.6,Inferior
0.58,0.074,1.0008,11.6,47.0,0.66,2.2,3.25,0.57,10.0,9.0,Inferior
0.61,0.2,0.9994,10.4,16.0,0.49,2.1,3.16,0.63,5.0,8.4,Inferior
0.59,0.07,0.9991,10.5,47.0,0.49,2.1,3.3,0.56,14.0,9.6,Inferior
0.5,0.103,0.9978,9.9,14.0,0.24,2.3,3.34,0.52,6.0,10.0,Inferior
0.915,0.088,0.9962,8.2,23.0,0.27,2.1,3.26,0.47,7.0,10.0,Inferior
0.935,0.105,1.001,10.1,86.0,0.22,3.4,3.43,0.64,11.0,11.3,Inferior
0.845,0.07,0.9967,8.3,14.0,0.01,2.2,3.32,0.58,5.0,11.0,Inferior
0.84,0.096,0.997,7.1,13.0,0.02,4.4,3.41,0.57,5.0,11.0,Inferior
1.185,0.097,0.9966,7.4,14.0,0.0,4.25,3.63,0.54,5.0,10.7,Inferior
0.38,0.073,0.9972,7.5,84.0,0.48,2.6,3.32,0.7,22.0,9.6,Inferior
0.765,0.078,0.998,9.1,14.0,0.04,1.6,3.29,0.54,4.0,9.7,Inferior
1.115,0.086,0.9958,7.5,12.0,0.1,3.1,3.54,0.6,5.0,11.2,Inferior
0.39,0.102,0.99462,6.9,7.0,0.24,2.1,3.44,0.58,4.0,11.4,Inferior
0.685,0.058,0.99632,7.5,9.0,0.07,2.5,3.38,0.55,5.0,10.9,Inferior
0.44,0.145,0.99832,10.4,48.0,0.42,1.5,3.38,0.86,34.0,9.9,Inferior
0.47,0.147,0.99836,11.6,51.0,0.44,1.6,3.38,0.86,36.0,9.9,Inferior
0.35,0.067,0.99576,7.3,48.0,0.24,2.0,3.43,0.54,28.0,10.0,Inferior
